LEFT_TABLE,LEFT_COLUMN,LEFT_DESCRIPTION,RIGHT_TABLE,RIGHT_COLUMN,RIGHT_DESCRIPTION
SG_CSV0000000000000925.csv,respondent_serial,"The ""respondent_serial"" column contains unique numerical identifiers assigned to each respondent to distinguish their entries within the dataset.",SG_CSV0000000000001714.csv,respondent_serial,"The 'respondent_serial' column contains unique numerical identifiers assigned to each respondent participating in the survey, ensuring each entry is distinctly recognizable within the dataset."
SG_CSV0000000000000925.csv,respondent_serial,"The 'respondent_id' column contains unique alphanumeric identifiers assigned to each individual respondent, allowing for their distinct identification within the dataset.",SG_CSV0000000000001714.csv,respondent_id,"The 'respondent_serial' column contains unique numerical identifiers assigned to each respondent participating in the survey, ensuring each entry is distinctly recognizable within the dataset."
SG_CSV0000000000000925.csv,respondent_id,"The ""respondent_serial"" column contains unique numerical identifiers assigned to each respondent to distinguish their entries within the dataset.",SG_CSV0000000000001714.csv,respondent_serial,"The 'respondent_id' column contains unique identifiers assigned to each survey participant, formatted as a string that typically begins with ""GEN24_"" followed by a number or a combination of characters and numbers, serving to distinguish each respondent within the dataset."
SG_CSV0000000000000925.csv,respondent_id,"The 'respondent_id' column contains unique alphanumeric identifiers assigned to each individual respondent, allowing for their distinct identification within the dataset.",SG_CSV0000000000001714.csv,respondent_id,"The 'respondent_id' column contains unique identifiers assigned to each survey participant, formatted as a string that typically begins with ""GEN24_"" followed by a number or a combination of characters and numbers, serving to distinguish each respondent within the dataset."
SG_CSV0000000000000925.csv,country,"The ""country"" column indicates the country where the respondent is from or is currently residing, with values such as ""Singapore"" denoting the specific nation associated with each respondent's data entry.",SG_CSV0000000000001714.csv,country,"The ""country"" column contains the name of the country where the respondent is from, in this case, all recorded instances show ""Singapore."""
SG_CSV0000000000000925.csv,yearbornin_1_slice,"The ""yearbornin_1_slice"" column contains information about the year of birth of the respondent.",SG_CSV0000000000001714.csv,yearbornin_1_slice,"The 'yearbornin_1_slice' column indicates a slice or portion of the year in which each respondent was born, suggesting the year or range of years defining the time period of their birth."
SG_CSV0000000000000925.csv,yearbornin_1_slice,"The ""yearbornin_1_slice1"" column contains the birth year information of the respondent, represented as a consistent data slice across each entry in the dataset.",SG_CSV0000000000001714.csv,yearbornin_1_slice1,"The 'yearbornin_1_slice' column indicates a slice or portion of the year in which each respondent was born, suggesting the year or range of years defining the time period of their birth."
SG_CSV0000000000000925.csv,yearbornin_1_slice1,"The ""yearbornin_1_slice"" column contains information about the year of birth of the respondent.",SG_CSV0000000000001714.csv,yearbornin_1_slice,"The 'yearbornin_1_slice1' column represents the year in which respondents were born, likely segmented or categorized in some fashion different from 'yearbornin_1_slice', to help in analyzing age-related trends or patterns within the dataset."
SG_CSV0000000000000925.csv,yearbornin_1_slice1,"The ""yearbornin_1_slice1"" column contains the birth year information of the respondent, represented as a consistent data slice across each entry in the dataset.",SG_CSV0000000000001714.csv,yearbornin_1_slice1,"The 'yearbornin_1_slice1' column represents the year in which respondents were born, likely segmented or categorized in some fashion different from 'yearbornin_1_slice', to help in analyzing age-related trends or patterns within the dataset."
SG_CSV0000000000000925.csv,ageofrespondent,"The ""ageofrespondent"" column contains numerical values representing the age of each individual respondent recorded in the dataset.",SG_CSV0000000000001714.csv,ageofrespondent,The 'ageofrespondent' column contains numerical values representing the age of each respondent at the time the data was collected.
SG_CSV0000000000000925.csv,ageofrespondent,"The ""childage"" column represents the age of respondents' children.",SG_CSV0000000000001714.csv,childage,The 'ageofrespondent' column contains numerical values representing the age of each respondent at the time the data was collected.
SG_CSV0000000000000925.csv,indicateage,"The ""indicateage"" column represents whether respondents have provided their age information in the survey.",SG_CSV0000000000001714.csv,indicateage,"The ""indicateage"" column contains binary values indicating whether or not the respondent has provided their age."
SG_CSV0000000000000925.csv,indicateage,"The 'unisch' column indicates whether the respondent has attended university, providing a binary answer of either 'Yes' or 'No'.",SG_CSV0000000000001714.csv,unisch,"The ""indicateage"" column contains binary values indicating whether or not the respondent has provided their age."
SG_CSV0000000000000925.csv,indicateage,"The ""postgradsch"" column indicates whether the respondent has attended postgraduate school or not, with possible values being categorical indicators such as ""Yes"" or ""No"".",SG_CSV0000000000001714.csv,postgradsch,"The ""indicateage"" column contains binary values indicating whether or not the respondent has provided their age."
SG_CSV0000000000000925.csv,indicateage,"The 'livinginsg_1_slice' column indicates whether the respondent is currently living in Singapore, providing a binary yes or no response.",SG_CSV0000000000001714.csv,livinginsg_1_slice,"The ""indicateage"" column contains binary values indicating whether or not the respondent has provided their age."
