query_table,candidate_table,query_column,candidate_column
USA_CSV0000000000033169__22.csv,USA_CSV0000000000033169__12.csv,Other Developmental Disability,Other Developmental Disability
SG_CSV0000000000000925__41.csv,SG_CSV0000000000001714__2.csv,ban_education4,ban_education4
SG_CSV0000000000000925__9.csv,SG_CSV0000000000001714.csv,levelsch,levelsch
SG_CSV0000000000000925__9.csv,SG_CSV0000000000000925__11.csv,q20_q212,q20_q212
SG_CSV0000000000000925__8.csv,SG_CSV0000000000000925__7.csv,ban_q433,ban_q433
SG_CSV0000000000001714__38.csv,SG_CSV0000000000001714__40.csv,ban_q435,ban_q435
SG_CSV0000000000000925__11.csv,SG_CSV0000000000001714.csv,levelsch,levelsch
SG_CSV0000000000000925__11.csv,SG_CSV0000000000000925__11.csv,q20_q212,q20_q212
UK_CSV0000000000006255__39.csv,UK_CSV0000000000006255__36.csv,q03a_12,q03a_12
SG_CSV0000000000001714__46.csv,SG_CSV0000000000000925__13.csv,levelsch,levelsch
SG_CSV0000000000000925__11.csv,SG_CSV0000000000000925__10.csv,ban_occupation_role8,ban_occupation_role8
SG_CSV0000000000000925__8.csv,SG_CSV0000000000000925__8.csv,ban_q433,ban_q433
SG_CSV0000000000001714__46.csv,SG_CSV0000000000001714__45.csv,socialnetwork_4_slice,socialnetwork_4_slice
SG_CSV0000000000001714__46.csv,SG_CSV0000000000001714__44.csv,socialnetwork_4_slice,socialnetwork_4_slice
SG_CSV0000000000000925__40.csv,SG_CSV0000000000001714.csv,socialnetwork_5_slice,socialnetwork_5_slice
SG_CSV0000000000000925__8.csv,SG_CSV0000000000000925__8.csv,ban_occupation_status7,ban_occupation_status7
USA_CSV0000000000031994.csv,USA_CSV0000000000035827.csv,City,City
SG_CSV0000000000000925__8.csv,SG_CSV0000000000000925__12.csv,ban_children4,ban_children4
USA_CSV0000000000000564.csv,USA_CSV0000000000034366.csv,account_description,account_description
USA_CSV0000000000034070__15.csv,USA_CSV0000000000033169.csv,Hyperlipidemia,Hyperlipidemia
SG_CSV0000000000000925__11.csv,SG_CSV0000000000000925__12.csv,ban_occupation_status9,ban_occupation_status9
SG_CSV0000000000000925__19.csv,SG_CSV0000000000000925__19.csv,ban_occupation_role6,ban_occupation_role6
SG_CSV0000000000000925__11.csv,SG_CSV0000000000000925.csv,ban_q432,ban_q432
SG_CSV0000000000000925__11.csv,SG_CSV0000000000000925__10.csv,ban_children4,ban_children4
SG_CSV0000000000001714__32.csv,SG_CSV0000000000001714__33.csv,ban_education4,ban_education4
SG_CSV0000000000000925__11.csv,SG_CSV0000000000000925__9.csv,ban_occupation_status7,ban_occupation_status7
SG_CSV0000000000001714__38.csv,SG_CSV0000000000001714__35.csv,ban_education2,ban_education2
SG_CSV0000000000000925__13.csv,SG_CSV0000000000000925__11.csv,ban_q436,ban_q436
SG_CSV0000000000000925__9.csv,SG_CSV0000000000000925.csv,ban_q18_q194,ban_q18_q194
SG_CSV0000000000000925__19.csv,SG_CSV0000000000000925__14.csv,ban_education2,ban_education2
USA_CSV0000000000034070__19.csv,USA_CSV0000000000033169__22.csv,Other Developmental Disability,Other Developmental Disability
SG_CSV0000000000000925__19.csv,SG_CSV0000000000000925__15.csv,socialnetwork_1_slice,socialnetwork_1_slice
SG_CSV0000000000000925__19.csv,SG_CSV0000000000000925.csv,ban_education2,ban_education2
SG_CSV0000000000001714__46.csv,SG_CSV0000000000000925__7.csv,levelsch,levelsch
SG_CSV0000000000000925__13.csv,SG_CSV0000000000000925__7.csv,ban_q436,ban_q436
SG_CSV0000000000000925__13.csv,SG_CSV0000000000000925__8.csv,ban_children4,ban_children4
USA_CSV0000000000034366.csv,USA_CSV0000000000034366.csv,account_description,account_description
SG_CSV0000000000000925__19.csv,SG_CSV0000000000000925__14.csv,ban_occupation_role8,ban_occupation_role8
SG_CSV0000000000000925__19.csv,SG_CSV0000000000000925__14.csv,socialnetwork_4_slice,socialnetwork_4_slice
SG_CSV0000000000000925__19.csv,SG_CSV0000000000000925.csv,socialnetwork_4_slice,socialnetwork_4_slice
SG_CSV0000000000001714__32.csv,SG_CSV0000000000001714__32.csv,levelsch,levelsch
SG_CSV0000000000000925__41.csv,SG_CSV0000000000000925__41.csv,ban_q431,ban_q431
SG_CSV0000000000001714__38.csv,SG_CSV0000000000001714__5.csv,ban_education2,ban_education2
SG_CSV0000000000000925__8.csv,SG_CSV0000000000000925__10.csv,socialnetwork_dp10,socialnetwork_dp10
SG_CSV0000000000000925__13.csv,SG_CSV0000000000000925.csv,ban_q18_q194,ban_q18_q194
USA_CSV0000000000034070__15.csv,USA_CSV0000000000033169__7.csv,Other Insurance,Other Insurance
UK_CSV0000000000006255__39.csv,UK_CSV0000000000006255__40.csv,q03a_15,q03a_15
CAN_CSV0000000000001018.csv,CAN_CSV0000000000007007.csv,STATUS,STATUS
SG_CSV0000000000000925__9.csv,SG_CSV0000000000000925__13.csv,ban_q18_q191,ban_q18_q191
USA_CSV0000000000034070__19.csv,USA_CSV0000000000034070__23.csv,Hyperlipidemia,Hyperlipidemia
USA_CSV0000000000034070__19.csv,USA_CSV0000000000033169__24.csv,Other Developmental Disability,Other Developmental Disability
USA_CSV0000000000034070__15.csv,USA_CSV0000000000033169__14.csv,Hyperlipidemia,Hyperlipidemia
SG_CSV0000000000000925__9.csv,SG_CSV0000000000001714.csv,ban_children4,ban_children4
SG_CSV0000000000000925__11.csv,SG_CSV0000000000000925.csv,q20_q212,q20_q212
USA_CSV0000000000034070__19.csv,USA_CSV0000000000034070__15.csv,Other Developmental Disability,Other Developmental Disability
SG_CSV0000000000000925__13.csv,SG_CSV0000000000001714.csv,q20_q212,q20_q212
SG_CSV0000000000000925__8.csv,SG_CSV0000000000000925__12.csv,ban_q18_q191,ban_q18_q191
SG_CSV0000000000001714__46.csv,SG_CSV0000000000000925__15.csv,socialnetwork_4_slice,socialnetwork_4_slice
SG_CSV0000000000000925__8.csv,SG_CSV0000000000000925__11.csv,ban_children4,ban_children4
SG_CSV0000000000001714__32.csv,SG_CSV0000000000001714__34.csv,ban_q437,ban_q437
