query_table,candidate_table,query_column,candidate_column
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_education4,ban_education4
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,levelsch,levelsch
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,socialnetwork_5_slice,socialnetwork_5_slice
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_children4,ban_children4
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,q20_q212,q20_q212
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,socialnetwork_4_slice,socialnetwork_4_slice
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,socialnetwork_dp01,socialnetwork_dp01
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,socialnetwork_dp10,socialnetwork_dp10
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,q20_q214,q20_q214
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_occupation_role6,ban_occupation_role6
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,socialnetwork_1_slice,socialnetwork_1_slice
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_education2,ban_education2
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_occupation_status2,ban_occupation_status2
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_q18_q191,ban_q18_q191
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,socialnetwork_dp07,socialnetwork_dp07
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_q18_q194,ban_q18_q194
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,q20_q213,q20_q213
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_occupation_status4,ban_occupation_status4
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_q435,ban_q435
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_education1,ban_education1
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,ban_q431,ban_q431
SG_CSV0000000000000925.csv,SG_CSV0000000000001714.csv,socialnetwork_dp08,socialnetwork_dp08
