LEFT_TABLE,RIGHT_TABLE,JOINABLE
SG_CSV0000000000001178.csv,SG_CSV0000000000000451.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000147.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000048.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001638.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000744.csv,Yes
SG_CSV0000000000001178.csv,SG_CSV0000000000001161.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001130.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001358.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000270.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001444.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000436.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000839.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000678.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001675.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001674.csv,Yes
SG_CSV0000000000001178.csv,SG_CSV0000000000001072.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000840.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000920.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000288.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000039.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000228.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001682.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000949.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001096.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000448.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001977.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001175.csv,Yes
SG_CSV0000000000001178.csv,SG_CSV0000000000000480.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001927.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001965.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001306.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000566.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001337.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001422.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000999.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000399.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000977.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001397.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000160.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001421.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000780.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001847.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000824.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001912.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000332.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001823.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001384.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000308.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000208.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000569.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000131.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001757.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001003.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000822.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000815.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000643.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001730.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000617.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000117.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001405.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001647.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000230.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001793.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000837.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001322.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001806.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000198.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000675.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001673.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000417.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001066.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000974.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000155.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001631.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001962.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000001357.csv,No
SG_CSV0000000000001178.csv,SG_CSV0000000000000738.csv,No
