TableName,Description
SG_CSV0000000000001178.csv,"The table SG_CSV0000000000001178.csv presents information on the financial years, types of facilities, and their respective categories, either sold or rented, from 2006 to 2008, covering various types of community and service centers such as childcare centers, education centers, social service centers, and medical service centers."
SG_CSV0000000000000451.csv,"The table ""SG_CSV0000000000000451.csv"" contains data representing yearly total values from 1998 to 2018, capturing a quantitative metric that shows a generally increasing trend over the years."
SG_CSV0000000000000147.csv,The table contains data on the average monthly earnings of individuals represented as a total across various quarters from 1998 to 2010.
SG_CSV0000000000000048.csv,"The table ""SG_CSV0000000000000048.csv"" contains detailed information about various entities registered with the Accounting and Corporate Regulatory Authority (ACRA) in Singapore, including their unique entity number (UEN), entity name, type and status, as well as details about their business activities, address, issuance dates, and the number of associated officers and charges."
SG_CSV0000000000001638.csv,"The table SG_CSV0000000000001638.csv contains monthly data from January 1985 to January 1987, showcasing total values and values excluding motor vehicles for each month."
SG_CSV0000000000000744.csv,"The table titled ""SG_CSV0000000000000744.csv"" tracks the amount of tax collected across various types of taxes such as Income Tax, Goods and Services Tax, Property Tax, Stamp Duty, Betting Taxes, and Estate Duty for each financial year from 2002 to 2008."
SG_CSV0000000000001161.csv,"The table SG_CSV0000000000001161.csv provides an annual breakdown from 2006 to 2021 of the number of individuals in three different sectors: Public Sector, Private Sector, and those Not in Active Practice."
SG_CSV0000000000001130.csv,"The table ""SG_CSV0000000000001130.csv"" contains data on the number of members participating in the CPF Investment Scheme across different quarters from 2006 to 2012, detailing the membership for both the Ordinary Account and Special Account schemes."
SG_CSV0000000000001358.csv,The table SG_CSV0000000000001358.csv provides data on the proportion of sick leave taken for hospitalisation and outpatient purposes across various years from 2005 to 2021.
SG_CSV0000000000000270.csv,"The table ""SG_CSV0000000000000270.csv"" provides a detailed breakdown of company tax assessments in Singapore from 2003 to 2020, distinguishing between taxable and non-taxable groups, and includes data on the number of companies assessed, their total income, donations, chargeable income before reliefs and exemptions, group relief, loss carryback relief, tax exemptions, computed chargeable income, gross tax payable, tax deducted at source, other tax set-offs, and the net tax assessed."
SG_CSV0000000000001444.csv,"The table records academic information from 2016 including the year, school, course name, and respective course code for various diplomas offered by different schools such as the School of Applied Science, School of Hospitality, School of Infocomm, School of Engineering, School of Management and Communication, School of Sports, Health, and Leisure, and School of Technology for the Arts."
SG_CSV0000000000000436.csv,The table SG_CSV0000000000000436.csv captures data on the number of donees across different age groups for each calendar year from 2011 to 2018.
SG_CSV0000000000000839.csv,"The table ""SG_CSV0000000000000839.csv"" contains data on birth counts in January 2019 in Singapore, categorized by the age group of mothers, child's gender, and mother's race."
SG_CSV0000000000000678.csv,"The table ""SG_CSV0000000000000678.csv"" provides annual data from 1974 to 1998, highlighting two indexes: the Import Price Index for Overall Items and the Non-Oil Import Price Index, along with their respective values for each year."
SG_CSV0000000000001675.csv,"The table ""SG_CSV0000000000001675.csv"" represents the sex ratio from 1950 to 1999, displaying the number of males per 1,000 females annually in a dataset which shows a gradual decline in the sex ratio over this period."
SG_CSV0000000000001674.csv,"The table ""SG_CSV0000000000001674.csv"" documents the service level targets and achievements from 2006 to 2012, detailing specific service metrics such as the time taken to answer telephone calls, reply to emails, respond to correspondences, attend to taxpayers, and issue refunds, with a comparison between targeted and actual achieved performance percentages."
SG_CSV0000000000001072.csv,"The table ""SG_CSV0000000000001072.csv"" provides an annual breakdown from 2015 to 2019 of the number of societies associated with various art forms, such as Music, Dance, Theatre, Visual Arts, Craft, Literary Arts, and Others."
SG_CSV0000000000000840.csv,"The table ""SG_CSV0000000000000840.csv"" displays data from the year 2019 detailing the birth count associated with different pairings of mother and father nationalities, including nationalities such as American, Australian, British, Indian, Pakistani, Bangladeshi, Sri Lankan, Indonesian, Japanese, Malaysian, Other ASEAN countries, and PRC National, within Singapore."
SG_CSV0000000000000920.csv,"The table SG_CSV0000000000000920.csv provides a yearly breakdown (from 2010 to 2015) of the number of members in various industries, including Manufacturing, Construction, Wholesale & Retail Trade, Accommodation & Food Services, Transport & Storage, Information & Communication, Financial & Insurance Services, Real Estate, Professional and Administrative Services, Community, Social & Personal Services, and Others."
SG_CSV0000000000000288.csv,"This table presents the gross enrolment ratio data across different years, broken down by category and level of education (all levels, primary, secondary, and tertiary), further segmented by sex (male, female, and combined), capturing the extent of enrolment at various educational stages."
SG_CSV0000000000000039.csv,"The table ""SG_CSV0000000000000039.csv"" contains detailed information about various business entities registered with the Accounting and Corporate Regulatory Authority (ACRA) in Singapore, including their Unique Entity Number (UEN), name, type, business nature, registration status, dates of incorporation and UEN issuance, and other operational details like business addresses and the number of officers and charges associated with each entity."
SG_CSV0000000000000228.csv,"The table SG_CSV0000000000000228.csv provides data on the business weight change (bwc) for various industries, classified under broader categories such as Manufacturing, Construction, and Services, across the years 2001 to 2004."
SG_CSV0000000000001682.csv,"The table SG_CSV0000000000001682.csv provides quarterly data from 1998 to 2001 on various industries, detailing the total number of jobs, the number of jobs affected by a short work week, and those subjected to temporary layoffs within the manufacturing, construction, services, and other sectors."
SG_CSV0000000000000949.csv,"The table ""SG_CSV0000000000000949.csv"" presents data on new admissions categorized by age group spanning from ""Below 13 years"" to ""16 years and above,"" over a range of years from 2011 to 2021, indicating the number of new admissions for each age group per year."
SG_CSV0000000000001096.csv,"The table ""SG_CSV0000000000001096.csv"" provides data on the number of establishments in the health services sector in Singapore, classified according to the Singapore Standard Industrial Classification (SSIC) codes, for the years 2015 to 2017, detailing the number of hospitals, general medical clinics, non-western clinics, specialized medical services, and dental and other medical services."
SG_CSV0000000000000448.csv,"The table ""SG_CSV0000000000000448.csv"" contains data on financial values, potentially trade balances or financial transactions, categorized by country or region (level_3) within broader geographical areas (level_2) around the world, for the years 1998 and 1999; these values indicate fiscal activities where positive numbers could imply surpluses and negative numbers could signify deficits, with some entries marked as unavailable (‘-’)."
SG_CSV0000000000001977.csv,"The table ""SG_CSV0000000000001977.csv"" presents data for the year 2013, detailing various customs, excise duties collections, and releases related to different types of goods, particularly distinguishing between general customs collections, total duties collections for categories such as liquor, tobacco, petroleum, motor vehicles, and other products, alongside GST collections; it provides specific figures for duty collections and duty-paid releases of various alcoholic beverages, reflecting detailed monetary values and quantities in liters for each type of liquor and related products."
SG_CSV0000000000001175.csv,"The table provides data on the number of units of various property types, including shops and eating houses, offices, supermarkets and emporiums, and civil defence shelters, that were either sold or rented across different financial years from 2006 to 2012."
SG_CSV0000000000000480.csv,"The table provides annual data from 2015 to 2019 on the number of persons prosecuted and compounded for liquor offences, as well as the quantity of liquor seized in thousands of liters."
SG_CSV0000000000001927.csv,The table SG_CSV0000000000001927.csv records the number of vessels and their corresponding gross tonnage on a monthly basis from January 1995 to February 1999.
SG_CSV0000000000001965.csv,"The table SG_CSV0000000000001965.csv provides data on the average quarterly changes in total monthly earnings across various quarters from 1999 to 2011, specifically showcasing the percentage change in earnings without distinction by gender."
SG_CSV0000000000001306.csv,"The table SG_CSV0000000000001306.csv contains information about chemical products, specifically detailing their registration with the NEA, including details such as company names, trade brand names, active ingredients, ingredient concentrations, formulation types, registration dates, and classification of use (either restricted or general use), with entries largely representing different types of pesticides and insect repellents."
SG_CSV0000000000000566.csv,"The table ""SG_CSV0000000000000566.csv"" presents a yearly breakdown from 2011 to 2021 of some quantitative data categorized by gender, with columns showing the number for males, females, and the total combined figure for each year."
SG_CSV0000000000001337.csv,"The table ""SG_CSV0000000000001337.csv"" records quarterly data from 1975 to 1981 on the value index of residential properties in two segments, landed and non-landed, illustrating changes over time in the property market."
SG_CSV0000000000001422.csv,"The table ""SG_CSV0000000000001422.csv"" contains data from 2014 to 2016 detailing financial information categorized by regrossed balance groups, each of which lists the total regrossed balance amount in different monetary ranges for each year."
SG_CSV0000000000000999.csv,"The table titled ""SG_CSV0000000000000999.csv"" contains historical newspaper data from ""Kabar Slalu,"" detailing various articles published on specific dates in January and February 1924, capturing details such as issue identifiers, edition numbers, specific page numbers, and brief initial snippets of article text from various sections including advertisements, general news, and specific headlines."
SG_CSV0000000000000399.csv,"The table ""SG_CSV0000000000000399.csv"" presents data from the year 2019, detailing various broad cause groups of diseases and disorders along with their corresponding percentages of occurrence or impact."
SG_CSV0000000000000977.csv,"The table ""SG_CSV0000000000000977.csv"" provides quarterly data from 2006 to 2012 on net withdrawal amounts from Public Housing and Residential Properties Schemes, indicating financial trends and changes in housing scheme allocations over time in Singapore."
SG_CSV0000000000001397.csv,"The table ""SG_CSV0000000000001397.csv"" contains data on reentry rates from the year 2000 to 2009, segmented by varying levels of education, such as Below Secondary, Secondary, Post-Secondary (Non-Tertiary), Diploma & Professional Qualification, and Degree."
SG_CSV0000000000000160.csv,"The table SG_CSV0000000000000160.csv provides data on the sick leave trends over several years, specifically detailing the type of sick leave—either hospitalisation leave or outpatient sick leave—along with the average days taken per absentee and per employee for each year listed from 2011 to 2021."
SG_CSV0000000000001421.csv,"The table ""SG_CSV0000000000001421.csv"" provides a financial dataset detailing the total regrossed balance amounts categorized by different income or financial ranges for the years 2019, 2020, and 2021."
SG_CSV0000000000000780.csv,"The table SG_CSV0000000000000780.csv contains financial metrics such as operating receipts, operating expenditure, operating surplus, and value added for the SSIC 56 - Total Food & Beverage Services across the years 2014 to 2016, reflecting the business performance in monetary terms for each aspect within the specified industry."
SG_CSV0000000000001847.csv,"The table SG_CSV0000000000001847.csv records the Total Fertility Rate (TFR) trends over the years from 1960 to 1976 across three ethnic groups—Chinese, Malays, and Indians—showcasing changes in the average number of children born per woman among these groups in each specified year."
SG_CSV0000000000000824.csv,"The table ""SG_CSV0000000000000824.csv"" provides detailed information about various companies categorized by their workhead and grade qualifications, alongside their unique entity numbers (UEN), contact details, and addresses, including building and street names, postal codes, and phone numbers, with specific attention to the expiry dates of their listed qualifications."
SG_CSV0000000000001912.csv,"The table SG_CSV0000000000001912.csv details the media consumption habits in 2013 for different age groups (15-59) in Singapore, specifying the percentage of individuals within each age group who have ever engaged in various media activities such as watching TV, accessing news, listening to music, and playing video games, alongside the sample size for each age group."
SG_CSV0000000000000332.csv,"The table ""SG_CSV0000000000000332.csv"" provides detailed information on the distribution of a population across different age groups for each year from 2006 to 2014, capturing how many people belong to various age categories such as ""Below 21,"" ""21-30,"" ""31-40,"" ""41-50,"" ""51-60,"" and ""60 Above"" for each of these years."
SG_CSV0000000000001823.csv,"The table records the number of air passenger departures categorized by regions and specific countries from January to May 1961, with regions including South East Asia and Europe, and countries such as Indonesia, Thailand, and the United Kingdom, among others, although some values are missing."
SG_CSV0000000000001384.csv,"The table ""SG_CSV0000000000001384.csv"" presents data on the average ridership across different types of public transport in Singapore, specifically MRT, LRT, buses, and taxis, from the years 1995 to 2007, highlighting fluctuations in public transport usage during this period."
SG_CSV0000000000000308.csv,"The table documents the monthly prices of various construction materials such as Cement in Bulk (Ordinary Portland Cement), Steel Reinforcement Bars (16-32mm High Tensile), Granite (20mm Aggregate), and Concreting Sand in Singapore, spanning from January 2004 to January 2005."
SG_CSV0000000000000208.csv,"The table ""SG_CSV0000000000000208.csv"" records data from the years 1990 to 1992 across various industries, detailing the total paid hours worked annually in sectors including manufacturing, construction, services, and others, each further divided into more specific sub-industries such as food and beverages, textiles, paper products, and financial services."
SG_CSV0000000000000569.csv,"The table ""SG_CSV0000000000000569.csv"" contains detailed information about 50 educational institutions in Singapore, including school names, contact details, such as website addresses, physical addresses, postal codes, telephone and fax numbers, email addresses, and access details via MRT and bus services, alongside administrative details like principal names, vice principal names, and various coded attributes that describe the school's district, zone, type, nature, session scheduling, main education level, as well as indicators for special programs like SAP, autonomy, gifted programs, and integrated programs, and the languages offered as mother tongues."
SG_CSV0000000000000131.csv,"The table SG_CSV0000000000000131.csv provides information on the number of various types of building permissions and approvals, including provisional permissions, written permissions, building plan approvals, building commencements, and building completions, over a series of years from 2013 to 2017."
