query_table,candidate_table,query_column,candidate_column
csvData25321210.csv,csvData25172738.csv,Waist (inches),Waist (inches)
csvData28350056.csv,csvData21314644.csv,Wt,Wt
csvData24969953.csv,csvData29068651.csv,Profitability Rank,Profitability Rank
csvData6081462.csv,csvData17468353.csv,Wm Alpha,Wm Alpha
csvData66079.csv,csvData9242724.csv,Last5,Last5
csvData23604104.csv,csvData22955264.csv,FT,FT
csvData23534924.csv,csvData9236926.csv,Wm Alpha,Wm Alpha
csvData6560108.csv,csvData25001233.csv,Waist (inches),Waist (inches)
csvData5113908.csv,csvData15455356.csv,Hip (inches),Hip (inches)
csvData9124304.csv,csvData388717.csv,SEASON,SEASON
csvData17921577.csv,csvData27261639.csv,Bust (inches),Bust (inches)
csvData14207584.csv,csvData561761.csv,Waist (inches),Waist (inches)
csvData23199378.csv,csvData22172528.csv,Bust (inches),Bust (inches)
csvData28782575.csv,csvData21277661.csv,Bust (inches),Bust (inches)
csvData18409343.csv,csvData8497240.csv,Company Name,Company Name
csvData10299723.csv,csvData20927277.csv,Dropout Voltage Condition *2,Dropout Voltage Condition *2
csvData612600.csv,csvData4020129.csv,Course Title,Course Title
csvData11908991.csv,csvData24103927.csv,Wm Alpha,Wm Alpha
csvData301609.csv,csvData11105179.csv,Wm Alpha,Wm Alpha
csvData24968167.csv,csvData26079604.csv,POSTSEASON,POSTSEASON
csvData2769416.csv,csvData21821377.csv,W%,W%
csvData19621512__11.csv,csvData6027794.csv,NAME,NAME
csvData19811491.csv,csvData29456057.csv,Model,Model
csvData26164035.csv,csvData11891632.csv,Walk Rate,Walk Rate
csvData12137164.csv,csvData25231539.csv,Pos,Pos
csvData1403926.csv,csvData20753008.csv,Date,Date
csvData15176997.csv,csvData25327247.csv,Score After,Score After
csvData7017590.csv,csvData12054197.csv,Opponent,Opponent
csvData21486117.csv,csvData15333370.csv,Dimensions,Dimensions
csvData12424505.csv,csvData15455356.csv,Wm Alpha,Wm Alpha
csvData2836865.csv,csvData29493908.csv,Season,Season
csvData28718713.csv,csvData28718713.csv,Date,Date
csvData6662352.csv,csvData28410322.csv,Bust (inches),Bust (inches)
csvData2852713__1.csv,csvData12822491.csv,Name,Name
