LEFT_TABLE;LEFT_COLUMN;RIGHT_TABLE;RIGHT_COLUMN;KEY;JOINABLE_LEVEL
2020-04-27 Coronavirus Tweets.CSV;country_code;glassdoor.csv;mapcountry;2020-04-27 Coronavirus Tweets.CSV#country_code#glassdoor.csv#mapcountry;4
2020-04-29 Coronavirus Tweets.CSV;country_code;glassdoor.csv;mapcountry;2020-04-29 Coronavirus Tweets.CSV#country_code#glassdoor.csv#mapcountry;4
2020-04-26 Coronavirus Tweets.CSV;country_code;glassdoor.csv;mapcountry;2020-04-26 Coronavirus Tweets.CSV#country_code#glassdoor.csv#mapcountry;4
glassdoor.csv;headerlocationType;us_perm_visas.csv;schd_a_sheepherder;glassdoor.csv#headerlocationType#us_perm_visas.csv#schd_a_sheepherder;2
glassdoor.csv;mapcountry;us_perm_visas.csv;country_of_citzenship;glassdoor.csv#mapcountry#us_perm_visas.csv#country_of_citzenship;4
glassdoor.csv;salarycountrytype;us_perm_visas.csv;foreign_worker_info_alt_edu_experience;glassdoor.csv#salarycountrytype#us_perm_visas.csv#foreign_worker_info_alt_edu_experience;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;foreign_worker_info_rel_occup_exp;glassdoor.csv#salarycountrytype#us_perm_visas.csv#foreign_worker_info_rel_occup_exp;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;foreign_worker_info_req_experience;glassdoor.csv#salarycountrytype#us_perm_visas.csv#foreign_worker_info_req_experience;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;foreign_worker_info_training_comp;glassdoor.csv#salarycountrytype#us_perm_visas.csv#foreign_worker_info_training_comp;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;foreign_worker_ownership_interest;glassdoor.csv#salarycountrytype#us_perm_visas.csv#foreign_worker_ownership_interest;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;fw_info_alt_edu_experience;glassdoor.csv#salarycountrytype#us_perm_visas.csv#fw_info_alt_edu_experience;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;fw_info_rel_occup_exp;glassdoor.csv#salarycountrytype#us_perm_visas.csv#fw_info_rel_occup_exp;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;fw_info_req_experience;glassdoor.csv#salarycountrytype#us_perm_visas.csv#fw_info_req_experience;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;fw_info_training_comp;glassdoor.csv#salarycountrytype#us_perm_visas.csv#fw_info_training_comp;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;fw_ownership_interest;glassdoor.csv#salarycountrytype#us_perm_visas.csv#fw_ownership_interest;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;ji_foreign_worker_live_on_premises;glassdoor.csv#salarycountrytype#us_perm_visas.csv#ji_foreign_worker_live_on_premises;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;ji_fw_live_on_premises;glassdoor.csv#salarycountrytype#us_perm_visas.csv#ji_fw_live_on_premises;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;ji_live_in_dom_svc_contract;glassdoor.csv#salarycountrytype#us_perm_visas.csv#ji_live_in_dom_svc_contract;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;ji_live_in_domestic_service;glassdoor.csv#salarycountrytype#us_perm_visas.csv#ji_live_in_domestic_service;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;ji_offered_to_sec_j_foreign_worker;glassdoor.csv#salarycountrytype#us_perm_visas.csv#ji_offered_to_sec_j_foreign_worker;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;ji_offered_to_sec_j_fw;glassdoor.csv#salarycountrytype#us_perm_visas.csv#ji_offered_to_sec_j_fw;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;job_info_alt_combo_ed_exp;glassdoor.csv#salarycountrytype#us_perm_visas.csv#job_info_alt_combo_ed_exp;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;job_info_alt_field;glassdoor.csv#salarycountrytype#us_perm_visas.csv#job_info_alt_field;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;job_info_combo_occupation;glassdoor.csv#salarycountrytype#us_perm_visas.csv#job_info_combo_occupation;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;job_info_experience;glassdoor.csv#salarycountrytype#us_perm_visas.csv#job_info_experience;2
glassdoor.csv;salarycountrytype;us_perm_visas.csv;job_info_foreign_ed;glassdoor.csv#salarycountrytype#us_perm_visas.csv#job_info_foreign_ed;2
