LEFT_TABLE;LEFT_COLUMN;RIGHT_TABLE;RIGHT_COLUMN;KEY;JOINABLE_LEVEL
aac_intakes_outcomes.csv;age_upon_outcome;aac_outcomes.csv;age_upon_outcome;aac_intakes_outcomes.csv#age_upon_outcome#aac_outcomes.csv#age_upon_outcome;4
aac_intakes_outcomes.csv;animal_id_outcome;aac_outcomes.csv;animal_id;aac_intakes_outcomes.csv#animal_id_outcome#aac_outcomes.csv#animal_id;4
aac_intakes_outcomes.csv;outcome_subtype;aac_outcomes.csv;outcome_subtype;aac_intakes_outcomes.csv#outcome_subtype#aac_outcomes.csv#outcome_subtype;4
aac_intakes_outcomes.csv;outcome_type;aac_outcomes.csv;outcome_type;aac_intakes_outcomes.csv#outcome_type#aac_outcomes.csv#outcome_type;4
aac_intakes_outcomes.csv;sex_upon_outcome;aac_outcomes.csv;sex_upon_outcome;aac_intakes_outcomes.csv#sex_upon_outcome#aac_outcomes.csv#sex_upon_outcome;4
aac_intakes_outcomes.csv;age_upon_intake;aac_outcomes.csv;age_upon_outcome;aac_intakes_outcomes.csv#age_upon_intake#aac_outcomes.csv#age_upon_outcome;4
aac_intakes_outcomes.csv;animal_id_intake;aac_outcomes.csv;animal_id;aac_intakes_outcomes.csv#animal_id_intake#aac_outcomes.csv#animal_id;4
aac_intakes_outcomes.csv;animal_type;aac_outcomes.csv;animal_type;aac_intakes_outcomes.csv#animal_type#aac_outcomes.csv#animal_type;4
aac_intakes_outcomes.csv;breed;aac_outcomes.csv;breed;aac_intakes_outcomes.csv#breed#aac_outcomes.csv#breed;4
aac_intakes_outcomes.csv;color;aac_outcomes.csv;color;aac_intakes_outcomes.csv#color#aac_outcomes.csv#color;4
aac_intakes_outcomes.csv;sex_upon_intake;aac_outcomes.csv;sex_upon_outcome;aac_intakes_outcomes.csv#sex_upon_intake#aac_outcomes.csv#sex_upon_outcome;4
aac_intakes_outcomes.csv;date_of_birth;animal-control-inventory-register.csv;DispositionDate;aac_intakes_outcomes.csv#date_of_birth#animal-control-inventory-register.csv#DispositionDate;3
aac_intakes.csv;age_upon_intake;aac_intakes_outcomes.csv;age_upon_outcome;aac_intakes.csv#age_upon_intake#aac_intakes_outcomes.csv#age_upon_outcome;4
aac_intakes.csv;animal_id;aac_intakes_outcomes.csv;animal_id_outcome;aac_intakes.csv#animal_id#aac_intakes_outcomes.csv#animal_id_outcome;4
aac_intakes.csv;sex_upon_intake;aac_intakes_outcomes.csv;sex_upon_outcome;aac_intakes.csv#sex_upon_intake#aac_intakes_outcomes.csv#sex_upon_outcome;4
aac_intakes.csv;age_upon_intake;aac_intakes_outcomes.csv;age_upon_intake;aac_intakes.csv#age_upon_intake#aac_intakes_outcomes.csv#age_upon_intake;4
aac_intakes.csv;animal_id;aac_intakes_outcomes.csv;animal_id_intake;aac_intakes.csv#animal_id#aac_intakes_outcomes.csv#animal_id_intake;4
aac_intakes.csv;animal_type;aac_intakes_outcomes.csv;animal_type;aac_intakes.csv#animal_type#aac_intakes_outcomes.csv#animal_type;4
aac_intakes.csv;breed;aac_intakes_outcomes.csv;breed;aac_intakes.csv#breed#aac_intakes_outcomes.csv#breed;4
aac_intakes.csv;color;aac_intakes_outcomes.csv;color;aac_intakes.csv#color#aac_intakes_outcomes.csv#color;4
aac_intakes.csv;found_location;aac_intakes_outcomes.csv;found_location;aac_intakes.csv#found_location#aac_intakes_outcomes.csv#found_location;4
aac_intakes.csv;intake_condition;aac_intakes_outcomes.csv;intake_condition;aac_intakes.csv#intake_condition#aac_intakes_outcomes.csv#intake_condition;4
aac_intakes.csv;intake_type;aac_intakes_outcomes.csv;intake_type;aac_intakes.csv#intake_type#aac_intakes_outcomes.csv#intake_type;4
aac_intakes.csv;sex_upon_intake;aac_intakes_outcomes.csv;sex_upon_intake;aac_intakes.csv#sex_upon_intake#aac_intakes_outcomes.csv#sex_upon_intake;4
global-greenhouse-gas-emissions0.csv;Country;world-power-plants-list.csv;PLANT_COUNTRY;global-greenhouse-gas-emissions0.csv#Country#world-power-plants-list.csv#PLANT_COUNTRY;4
global-greenhouse-gas-emissions0.csv;Country;oxford-covid-19-government-response-tracker.csv;Country;global-greenhouse-gas-emissions0.csv#Country#oxford-covid-19-government-response-tracker.csv#Country;4
agri-environmental-indicators-emissions-by-sector.csv;Area;global-greenhouse-gas-emissions0.csv;Country;agri-environmental-indicators-emissions-by-sector.csv#Area#global-greenhouse-gas-emissions0.csv#Country;4
global-greenhouse-gas-emissions.csv;ISO_A3;global-greenhouse-gas-emissions0.csv;ISO_A3;global-greenhouse-gas-emissions.csv#ISO_A3#global-greenhouse-gas-emissions0.csv#ISO_A3;4
global-greenhouse-gas-emissions.csv;World Region;global-greenhouse-gas-emissions0.csv;World Region;global-greenhouse-gas-emissions.csv#World Region#global-greenhouse-gas-emissions0.csv#World Region;4
global-greenhouse-gas-emissions.csv;Country;global-greenhouse-gas-emissions0.csv;Country;global-greenhouse-gas-emissions.csv#Country#global-greenhouse-gas-emissions0.csv#Country;4
global-greenhouse-gas-emissions.csv;Compound;global-greenhouse-gas-emissions0.csv;Compound;global-greenhouse-gas-emissions.csv#Compound#global-greenhouse-gas-emissions0.csv#Compound;4
global-greenhouse-gas-emissions.csv;IPCC-Annex;global-greenhouse-gas-emissions0.csv;IPCC-Annex;global-greenhouse-gas-emissions.csv#IPCC-Annex#global-greenhouse-gas-emissions0.csv#IPCC-Annex;4
global-greenhouse-gas-emissions0.csv;Country;total-and-urban-population-annual-1950-2050.csv;LOCATION_NAME;global-greenhouse-gas-emissions0.csv#Country#total-and-urban-population-annual-1950-2050.csv#LOCATION_NAME;4
global-greenhouse-gas-emissions0.csv;Country;global-innovation-index-2015.csv;COUNTRY_NAME;global-greenhouse-gas-emissions0.csv#Country#global-innovation-index-2015.csv#COUNTRY_NAME;4
water-control-valves.csv;Geo Local Area;water-hydrants.csv;Geo Local Area;water-control-valves.csv#Geo Local Area#water-hydrants.csv#Geo Local Area;4
sewer-catch-basins.csv;Geo Local Area;water-control-valves.csv;Geo Local Area;sewer-catch-basins.csv#Geo Local Area#water-control-valves.csv#Geo Local Area;4
property-addresses.csv;Geo Local Area;water-control-valves.csv;Geo Local Area;property-addresses.csv#Geo Local Area#water-control-valves.csv#Geo Local Area;4
sewer-manholes.csv;Geo Local Area;water-control-valves.csv;Geo Local Area;sewer-manholes.csv#Geo Local Area#water-control-valves.csv#Geo Local Area;4
water-hydrants.csv;COMPRESSION;world-power-plants-list.csv;PLANT_MERCURY_CONTROL_DEVICE;water-hydrants.csv#COMPRESSION#world-power-plants-list.csv#PLANT_MERCURY_CONTROL_DEVICE;1
oxford-covid-19-government-response-tracker.csv;Country;world-power-plants-list.csv;PLANT_COUNTRY;oxford-covid-19-government-response-tracker.csv#Country#world-power-plants-list.csv#PLANT_COUNTRY;3
agri-environmental-indicators-emissions-by-sector.csv;Area;world-power-plants-list.csv;PLANT_COUNTRY;agri-environmental-indicators-emissions-by-sector.csv#Area#world-power-plants-list.csv#PLANT_COUNTRY;4
global-greenhouse-gas-emissions.csv;Country;world-power-plants-list.csv;PLANT_COUNTRY;global-greenhouse-gas-emissions.csv#Country#world-power-plants-list.csv#PLANT_COUNTRY;4
total-and-urban-population-annual-1950-2050.csv;LOCATION_NAME;world-power-plants-list.csv;PLANT_COUNTRY;total-and-urban-population-annual-1950-2050.csv#LOCATION_NAME#world-power-plants-list.csv#PLANT_COUNTRY;4
global-innovation-index-2015.csv;COUNTRY_NAME;world-power-plants-list.csv;PLANT_COUNTRY;global-innovation-index-2015.csv#COUNTRY_NAME#world-power-plants-list.csv#PLANT_COUNTRY;4
makemytrip_com-travel_sample.csv;is_value_plus;world-power-plants-list.csv;PLANT_MERCURY_CONTROL_DEVICE;makemytrip_com-travel_sample.csv#is_value_plus#world-power-plants-list.csv#PLANT_MERCURY_CONTROL_DEVICE;1
emissions_agriculture_energy_e_all_data_norm.csv;Country;world-power-plants-list.csv;PLANT_COUNTRY;emissions_agriculture_energy_e_all_data_norm.csv#Country#world-power-plants-list.csv#PLANT_COUNTRY;4
sewer-catch-basins.csv;Geo Local Area;water-hydrants.csv;Geo Local Area;sewer-catch-basins.csv#Geo Local Area#water-hydrants.csv#Geo Local Area;4
Accidental_Drug_Related_Deaths_2012-2018.csv;AnyOpioid;water-hydrants.csv;SUBSYSTEM;Accidental_Drug_Related_Deaths_2012-2018.csv#AnyOpioid#water-hydrants.csv#SUBSYSTEM;1
Accidental_Drug_Related_Deaths_2012-2018.csv;Heroin;water-hydrants.csv;FIREUSEONLY;Accidental_Drug_Related_Deaths_2012-2018.csv#Heroin#water-hydrants.csv#FIREUSEONLY;1
Accidental_Drug_Related_Deaths_2012-2018.csv;Cocaine;water-hydrants.csv;FIREUSEONLY;Accidental_Drug_Related_Deaths_2012-2018.csv#Cocaine#water-hydrants.csv#FIREUSEONLY;1
