LEFT_TABLE;LEFT_COLUMN;RIGHT_TABLE;RIGHT_COLUMN;KEY;JOINABLE_LEVEL;COLUMN_JOINABILITY
AboutIsis.csv;name;IsisFanboy.csv;name;AboutIsis.csv#IsisFanboy.csv#name#name;4;YES
AboutIsis.csv;username;IsisFanboy.csv;username;AboutIsis.csv#IsisFanboy.csv#username#username;4;YES
aac_intakes_outcomes.csv;age_upon_outcome;aac_outcomes.csv;age_upon_outcome;aac_intakes_outcomes.csv#age_upon_outcome#aac_outcomes.csv#age_upon_outcome;4;NO
aac_intakes_outcomes.csv;animal_id_outcome;aac_outcomes.csv;animal_id;aac_intakes_outcomes.csv#animal_id_outcome#aac_outcomes.csv#animal_id;4;YES
aac_intakes_outcomes.csv;outcome_subtype;aac_outcomes.csv;outcome_subtype;aac_intakes_outcomes.csv#outcome_subtype#aac_outcomes.csv#outcome_subtype;4;NO
aac_intakes_outcomes.csv;outcome_type;aac_outcomes.csv;outcome_type;aac_intakes_outcomes.csv#outcome_type#aac_outcomes.csv#outcome_type;4;NO
aac_intakes_outcomes.csv;sex_upon_outcome;aac_outcomes.csv;sex_upon_outcome;aac_intakes_outcomes.csv#sex_upon_outcome#aac_outcomes.csv#sex_upon_outcome;4;NO
aac_intakes_outcomes.csv;age_upon_intake;aac_outcomes.csv;age_upon_outcome;aac_intakes_outcomes.csv#age_upon_intake#aac_outcomes.csv#age_upon_outcome;4;NO
aac_intakes_outcomes.csv;animal_id_intake;aac_outcomes.csv;animal_id;aac_intakes_outcomes.csv#animal_id_intake#aac_outcomes.csv#animal_id;4;YES
aac_intakes_outcomes.csv;animal_type;aac_outcomes.csv;animal_type;aac_intakes_outcomes.csv#animal_type#aac_outcomes.csv#animal_type;4;NO
aac_intakes_outcomes.csv;breed;aac_outcomes.csv;breed;aac_intakes_outcomes.csv#breed#aac_outcomes.csv#breed;4;NO
aac_intakes_outcomes.csv;color;aac_outcomes.csv;color;aac_intakes_outcomes.csv#color#aac_outcomes.csv#color;4;NO
aac_intakes_outcomes.csv;sex_upon_intake;aac_outcomes.csv;sex_upon_outcome;aac_intakes_outcomes.csv#sex_upon_intake#aac_outcomes.csv#sex_upon_outcome;4;NO
aac_intakes_outcomes.csv;date_of_birth;animal-control-inventory-register.csv;DispositionDate;aac_intakes_outcomes.csv#date_of_birth#animal-control-inventory-register.csv#DispositionDate;3;NO
aac_intakes.csv;age_upon_intake;aac_intakes_outcomes.csv;age_upon_outcome;aac_intakes.csv#age_upon_intake#aac_intakes_outcomes.csv#age_upon_outcome;4;NO
aac_intakes.csv;animal_id;aac_intakes_outcomes.csv;animal_id_outcome;aac_intakes.csv#animal_id#aac_intakes_outcomes.csv#animal_id_outcome;4;YES
aac_intakes.csv;sex_upon_intake;aac_intakes_outcomes.csv;sex_upon_outcome;aac_intakes.csv#sex_upon_intake#aac_intakes_outcomes.csv#sex_upon_outcome;4;NO
aac_intakes.csv;age_upon_intake;aac_intakes_outcomes.csv;age_upon_intake;aac_intakes.csv#age_upon_intake#aac_intakes_outcomes.csv#age_upon_intake;4;NO
aac_intakes.csv;animal_id;aac_intakes_outcomes.csv;animal_id_intake;aac_intakes.csv#animal_id#aac_intakes_outcomes.csv#animal_id_intake;4;YES
aac_intakes.csv;animal_type;aac_intakes_outcomes.csv;animal_type;aac_intakes.csv#animal_type#aac_intakes_outcomes.csv#animal_type;4;NO
aac_intakes.csv;breed;aac_intakes_outcomes.csv;breed;aac_intakes.csv#breed#aac_intakes_outcomes.csv#breed;4;NO
aac_intakes.csv;color;aac_intakes_outcomes.csv;color;aac_intakes.csv#color#aac_intakes_outcomes.csv#color;4;NO
