ds_name,ds_name_2,left_column,right_column
CAN_CSV0000000000001787__12.csv,CAN_CSV0000000000001797__0.csv,RentLocation,RentLocation
CAN_CSV0000000000001787__39.csv,CAN_CSV0000000000001797__21.csv,Province/Canada,Province/Canada
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Kidney Disease,Kidney Disease
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Post-Op Q Activity,Post-Op Q Activity
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Mobility,Pre-Op Q Mobility
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Depression,Depression
CAN_CSV0000000000001787__40.csv,CAN_CSV0000000000001787__5.csv,Province/Canada,Province/Canada
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,ALTMETR_SETNG,ALTMETR_SETNG
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,PCPN_AMT_PST6HRS_QA,PCPN_AMT_PST6HRS_QA
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
CAN_CSV0000000000001787__41.csv,CAN_CSV0000000000001787__5.csv,Province/Canada,Province/Canada
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability
UK_CSV0000000000002010__6.csv,UK_CSV0000000000003896__3.csv,Provider Code,Provider Code
UK_CSV0000000000002010__6.csv,UK_CSV0000000000003896__3.csv,Pre-Op Q Activity,Pre-Op Q Activity
UK_CSV0000000000002010__6.csv,UK_CSV0000000000003896__3.csv,Post-Op Q Wound,Post-Op Q Wound
CAN_CSV0000000000001724__46.csv,CAN_CSV0000000000001787__10.csv,RentLocation,RentLocation
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027355__22.csv,DNSTY_ALTD,DNSTY_ALTD
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS_QA,AVG_VIS_PST10MTS_QA
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,PCPN_AMT_PST1MT_QA,PCPN_AMT_PST1MT_QA
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST1MT,AVG_VIS_PST1MT
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,ALTMETR_SETNG,ALTMETR_SETNG
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,PCPN_AMT_PST6HRS_QA,PCPN_AMT_PST6HRS_QA
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
UK_CSV0000000000003896__3.csv,UK_CSV0000000000003896__8.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000003896__3.csv,UK_CSV0000000000003896__8.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_MSLP_PST1MT_QA,AVG_MSLP_PST1MT_QA
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,PRSNT_WX_1_QA,PRSNT_WX_1_QA
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_MSLP_PST1MT,AVG_MSLP_PST1MT
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
UK_CSV0000000000002010__10.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Activity,Post-Op Q Activity
USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__5.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L
USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__5.csv,AT_GRADE_SIGNS,AT_GRADE_SIGNS
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Revision Flag,Revision Flag
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Pre-Op Q Anxiety,Pre-Op Q Anxiety
CAN_CSV0000000000027349__19.csv,CAN_CSV0000000000027349__21.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000001724__13.csv,CAN_CSV0000000000001797__36.csv,Province/Canada,Province/Canada
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__10.csv,Post-Op Q Sucess,Post-Op Q Sucess
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__10.csv,Post-Op Q Bleeding,Post-Op Q Bleeding
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__10.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000002010__31.csv,UK_CSV0000000000003896__0.csv,Pre-Op Q Activity,Pre-Op Q Activity
UK_CSV0000000000002010__31.csv,UK_CSV0000000000003896__0.csv,Pre-Op Q Self-Care,Pre-Op Q Self-Care
CAN_CSV0000000000027346__14.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS_QA,AVG_VIS_PST10MTS_QA
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,VERT_ALIGN,VERT_ALIGN
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,STD_EXP_FACTOR,STD_EXP_FACTOR
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,ROUTE_SIGNING,ROUTE_SIGNING
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,PERC_COMBINATION,PERC_COMBINATION
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,SPECIAL_SYSTEMS,SPECIAL_SYSTEMS
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__22.csv,DONUT_EXP_FACTOR,DONUT_EXP_FACTOR
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,LANE_WIDTH,LANE_WIDTH
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,INTER_ROUTE_NUMBER,INTER_ROUTE_NUMBER
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,TYPE_FACILITY,TYPE_FACILITY
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,THROUGH_LANES,THROUGH_LANES
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,UNBUILT_FACILITY,UNBUILT_FACILITY
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__26.csv,YEAR_RECORD,YEAR_RECORD
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Post-Op Q Activity,Post-Op Q Activity
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Post-Op Q Bleeding,Post-Op Q Bleeding
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000006676__5.csv,UK_CSV0000000000007396__12.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
CAN_CSV0000000000001787__0.csv,CAN_CSV0000000000001787__36.csv,Province/Canada,Province/Canada
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,AVG_MSLP_PST1MT_QA,AVG_MSLP_PST1MT_QA
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,ICAO_STN_ID,ICAO_STN_ID
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000001487__6.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,AVG_MSLP_PST1MT_QA,AVG_MSLP_PST1MT_QA
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,ICAO_STN_ID,ICAO_STN_ID
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT
CAN_CSV0000000000001487__10.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS
UK_CSV0000000000007396__10.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Activity,Post-Op Q Activity
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Sucess,Post-Op Q Sucess
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Bleeding,Post-Op Q Bleeding
UK_CSV0000000000002010__30.csv,UK_CSV0000000000002010__6.csv,Liver Disease,Liver Disease
UK_CSV0000000000002010__30.csv,UK_CSV0000000000002010__6.csv,Pre-Op Q Activity,Pre-Op Q Activity
UK_CSV0000000000002010__31.csv,UK_CSV0000000000002010__9.csv,Liver Disease,Liver Disease
SG_CSV0000000000000925__0.csv,SG_CSV0000000000000925__44.csv,ban_children4,ban_children4
SG_CSV0000000000000925__0.csv,SG_CSV0000000000000925__44.csv,md_segment,md_segment
SG_CSV0000000000000925__0.csv,SG_CSV0000000000000925__44.csv,highestlevel,highestlevel
SG_CSV0000000000000925__6.csv,SG_CSV0000000000001714__6.csv,ban_q18_q191,ban_q18_q191
SG_CSV0000000000000925__6.csv,SG_CSV0000000000001714__6.csv,occupation2,occupation2
SG_CSV0000000000000925__44.csv,SG_CSV0000000000000925__6.csv,ban_children4,ban_children4
SG_CSV0000000000000925__44.csv,SG_CSV0000000000000925__6.csv,md_segment,md_segment
UK_CSV0000000000003896__4.csv,UK_CSV0000000000003896__8.csv,Post-Op Q Self-Care,Post-Op Q Self-Care
UK_CSV0000000000003896__4.csv,UK_CSV0000000000003896__8.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index
UK_CSV0000000000003896__4.csv,UK_CSV0000000000003896__8.csv,Post-Op Q Wound,Post-Op Q Wound
CAN_CSV0000000000001724__45.csv,CAN_CSV0000000000001787__10.csv,RentLocation,RentLocation
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000027353__2.csv,AVG_STN_PRES_PST1MT,AVG_STN_PRES_PST1MT
