query_table,candidate_table,query_column,candidate_column,joinable_level,column_joinable
CAN_CSV0000000000001787__12.csv,CAN_CSV0000000000001797__0.csv,RentLocation,RentLocation,4,YES
CAN_CSV0000000000001787__39.csv,CAN_CSV0000000000001797__21.csv,Province/Canada,Province/Canada,4,YES
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Kidney Disease,Kidney Disease,4,NO
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Post-Op Q Activity,Post-Op Q Activity,4,YES
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability,4,YES
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Mobility,Pre-Op Q Mobility,4,YES
UK_CSV0000000000002010__6.csv,UK_CSV0000000000006676__5.csv,Depression,Depression,4,NO
CAN_CSV0000000000001787__40.csv,CAN_CSV0000000000001787__5.csv,Province/Canada,Province/Canada,4,YES
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,ALTMETR_SETNG,ALTMETR_SETNG,4,NO
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,PCPN_AMT_PST6HRS_QA,PCPN_AMT_PST6HRS_QA,4,NO
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT,4,NO
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__26.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS,4,NO
CAN_CSV0000000000001787__41.csv,CAN_CSV0000000000001787__5.csv,Province/Canada,Province/Canada,4,YES
UK_CSV0000000000006676__34.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability,4,YES
UK_CSV0000000000002010__6.csv,UK_CSV0000000000003896__3.csv,Provider Code,Provider Code,4,YES
UK_CSV0000000000002010__6.csv,UK_CSV0000000000003896__3.csv,Pre-Op Q Activity,Pre-Op Q Activity,4,YES
UK_CSV0000000000002010__6.csv,UK_CSV0000000000003896__3.csv,Post-Op Q Wound,Post-Op Q Wound,4,YES
CAN_CSV0000000000001724__46.csv,CAN_CSV0000000000001787__10.csv,RentLocation,RentLocation,4,YES
UK_CSV0000000000006676__2.csv,UK_CSV0000000000006676__5.csv,Pre-Op Q Disability,Pre-Op Q Disability,4,YES
CAN_CSV0000000000027349__20.csv,CAN_CSV0000000000027355__22.csv,DNSTY_ALTD,DNSTY_ALTD,4,NO
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,DATA_ATTRIB_NOT,DATA_ATTRIB_NOT,4,NO
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS_QA,AVG_VIS_PST10MTS_QA,4,NO
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT,4,NO
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,PCPN_AMT_PST1MT_QA,PCPN_AMT_PST1MT_QA,4,NO
CAN_CSV0000000000001487__26.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST1MT,AVG_VIS_PST1MT,4,NO
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,ALTMETR_SETNG,ALTMETR_SETNG,4,NO
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,PCPN_AMT_PST6HRS_QA,PCPN_AMT_PST6HRS_QA,4,NO
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT,4,NO
CAN_CSV0000000000001487__23.csv,CAN_CSV0000000000001487__26.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS,4,NO
UK_CSV0000000000003896__3.csv,UK_CSV0000000000003896__8.csv,Post-Op Q Self-Care,Post-Op Q Self-Care,4,YES
UK_CSV0000000000003896__3.csv,UK_CSV0000000000003896__8.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index,4,YES
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_MSLP_PST1MT_QA,AVG_MSLP_PST1MT_QA,4,NO
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,PRSNT_WX_1_QA,PRSNT_WX_1_QA,4,NO
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_MSLP_PST1MT,AVG_MSLP_PST1MT,4,NO
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_AIR_TEMP_PST1MT,AVG_AIR_TEMP_PST1MT,4,NO
CAN_CSV0000000000001487__20.csv,CAN_CSV0000000000001487__8.csv,AVG_VIS_PST10MTS,AVG_VIS_PST10MTS,4,NO
UK_CSV0000000000002010__10.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Activity,Post-Op Q Activity,4,YES
USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__5.csv,SHOULDER_WIDTH_L,SHOULDER_WIDTH_L,4,NO
USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__5.csv,AT_GRADE_SIGNS,AT_GRADE_SIGNS,4,NO
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Revision Flag,Revision Flag,4,NO
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Post-Op Q Self-Care,Post-Op Q Self-Care,4,YES
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Pre-Op Q EQ5D Index,Pre-Op Q EQ5D Index,4,YES
UK_CSV0000000000003896__4.csv,UK_CSV0000000000007396__13.csv,Pre-Op Q Anxiety,Pre-Op Q Anxiety,4,YES
CAN_CSV0000000000027349__19.csv,CAN_CSV0000000000027349__21.csv,AVG_REL_HUM_PST1MT,AVG_REL_HUM_PST1MT,4,NO
CAN_CSV0000000000001724__13.csv,CAN_CSV0000000000001797__36.csv,Province/Canada,Province/Canada,4,YES
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__10.csv,Post-Op Q Sucess,Post-Op Q Sucess,4,NO
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__10.csv,Post-Op Q Bleeding,Post-Op Q Bleeding,4,YES
UK_CSV0000000000003896__16.csv,UK_CSV0000000000007396__10.csv,Post-Op Q Self-Care,Post-Op Q Self-Care,4,YES
UK_CSV0000000000002010__31.csv,UK_CSV0000000000003896__0.csv,Pre-Op Q Activity,Pre-Op Q Activity,4,YES
UK_CSV0000000000002010__31.csv,UK_CSV0000000000003896__0.csv,Pre-Op Q Self-Care,Pre-Op Q Self-Care,4,YES
CAN_CSV0000000000027346__14.csv,CAN_CSV0000000000027346__30.csv,AVG_VIS_PST10MTS_QA,AVG_VIS_PST10MTS_QA,4,NO
