LEFT_TABLE,LEFT_COLUMN,RIGHT_TABLE,RIGHT_COLUMN
database#academic#domain_author.csv,aid,database#academic#author.csv,aid
database#academic#domain_author.csv,did,database#academic#domain.csv,did
database#academic#domain_conference.csv,cid,database#academic#conference.csv,cid
database#academic#domain_conference.csv,did,database#academic#domain.csv,did
database#academic#domain_journal.csv,jid,database#academic#journal.csv,jid
database#academic#domain_journal.csv,did,database#academic#domain.csv,did
database#academic#domain_keyword.csv,kid,database#academic#keyword.csv,kid
database#academic#domain_keyword.csv,did,database#academic#domain.csv,did
database#academic#publication.csv,jid,database#academic#journal.csv,jid
database#academic#publication.csv,cid,database#academic#conference.csv,cid
database#academic#domain_publication.csv,pid,database#academic#publication.csv,pid
database#academic#domain_publication.csv,did,database#academic#domain.csv,did
database#academic#publication_keyword.csv,pid,database#academic#publication.csv,pid
database#academic#publication_keyword.csv,kid,database#academic#keyword.csv,kid
database#academic#writes.csv,pid,database#academic#publication.csv,pid
database#academic#writes.csv,aid,database#academic#author.csv,aid
database#academic#cite.csv,cited,database#academic#publication.csv,pid
database#academic#cite.csv,citing,database#academic#publication.csv,pid
database#activity_1#Participates_in.csv,stuid,database#activity_1#Student.csv,StuID
database#activity_1#Participates_in.csv,actid,database#activity_1#Activity.csv,actid
database#activity_1#Faculty_Participates_in.csv,FacID,database#activity_1#Faculty.csv,FacID
database#activity_1#Faculty_Participates_in.csv,actid,database#activity_1#Activity.csv,actid
database#aircraft#match.csv,Winning_Aircraft,database#aircraft#aircraft.csv,Aircraft_ID
database#aircraft#match.csv,Winning_Pilot,database#aircraft#pilot.csv,Pilot_Id
database#aircraft#airport_aircraft.csv,Airport_ID,database#aircraft#airport.csv,Airport_ID
database#aircraft#airport_aircraft.csv,Aircraft_ID,database#aircraft#aircraft.csv,Aircraft_ID
database#allergy_1#Has_Allergy.csv,StuID,database#allergy_1#Student.csv,StuID
database#allergy_1#Has_Allergy.csv,Allergy,database#allergy_1#Allergy_Type.csv,Allergy
database#apartment_rentals#Apartments.csv,building_id,database#apartment_rentals#Apartment_Buildings.csv,building_id
database#apartment_rentals#Apartment_Facilities.csv,apt_id,database#apartment_rentals#Apartments.csv,apt_id
database#apartment_rentals#Apartment_Bookings.csv,apt_id,database#apartment_rentals#Apartments.csv,apt_id
database#apartment_rentals#Apartment_Bookings.csv,guest_id,database#apartment_rentals#Guests.csv,guest_id
database#apartment_rentals#View_Unit_Status.csv,apt_id,database#apartment_rentals#Apartments.csv,apt_id
database#apartment_rentals#View_Unit_Status.csv,apt_booking_id,database#apartment_rentals#Apartment_Bookings.csv,apt_booking_id
database#architecture#bridge.csv,architect_id,database#architecture#architect.csv,id
database#architecture#mill.csv,architect_id,database#architecture#architect.csv,id
database#assets_maintenance#Maintenance_Contracts.csv,maintenance_contract_company_id,database#assets_maintenance#Third_Party_Companies.csv,company_id
database#assets_maintenance#Assets.csv,supplier_company_id,database#assets_maintenance#Third_Party_Companies.csv,company_id
database#assets_maintenance#Asset_Parts.csv,part_id,database#assets_maintenance#Parts.csv,part_id
database#assets_maintenance#Asset_Parts.csv,asset_id,database#assets_maintenance#Assets.csv,asset_id
database#assets_maintenance#Maintenance_Engineers.csv,company_id,database#assets_maintenance#Third_Party_Companies.csv,company_id
database#assets_maintenance#Engineer_Skills.csv,engineer_id,database#assets_maintenance#Maintenance_Engineers.csv,engineer_id
database#assets_maintenance#Engineer_Skills.csv,skill_id,database#assets_maintenance#Skills.csv,skill_id
database#assets_maintenance#Fault_Log.csv,asset_id,database#assets_maintenance#Assets.csv,asset_id
database#assets_maintenance#Fault_Log.csv,recorded_by_staff_id,database#assets_maintenance#Staff.csv,staff_id
database#assets_maintenance#Engineer_Visits.csv,fault_log_entry_id,database#assets_maintenance#Fault_Log.csv,fault_log_entry_id
database#assets_maintenance#Engineer_Visits.csv,engineer_id,database#assets_maintenance#Maintenance_Engineers.csv,engineer_id
database#assets_maintenance#Engineer_Visits.csv,contact_staff_id,database#assets_maintenance#Staff.csv,staff_id
database#assets_maintenance#Part_Faults.csv,part_id,database#assets_maintenance#Parts.csv,part_id
database#assets_maintenance#Fault_Log_Parts.csv,part_fault_id,database#assets_maintenance#Part_Faults.csv,part_fault_id
database#assets_maintenance#Fault_Log_Parts.csv,fault_log_entry_id,database#assets_maintenance#Fault_Log.csv,fault_log_entry_id
database#assets_maintenance#Skills_Required_To_Fix.csv,part_fault_id,database#assets_maintenance#Part_Faults.csv,part_fault_id
database#assets_maintenance#Skills_Required_To_Fix.csv,skill_id,database#assets_maintenance#Skills.csv,skill_id
database#baseball_1#all_star.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#appearances.csv,team_id,database#baseball_1#team.csv,team_id
database#baseball_1#appearances.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#manager_award.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#player_award.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#player_award_vote.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#batting.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#batting_postseason.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#batting_postseason.csv,team_id,database#baseball_1#team.csv,team_id
database#baseball_1#player_college.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#player_college.csv,college_id,database#baseball_1#college.csv,college_id
database#baseball_1#fielding.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#fielding_outfield.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#fielding_postseason.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#fielding_postseason.csv,team_id,database#baseball_1#player.csv,team_id
database#baseball_1#hall_of_fame.csv,player_id,database#baseball_1#player.csv,player_id
database#baseball_1#home_game.csv,team_id,database#baseball_1#team.csv,team_id
database#baseball_1#home_game.csv,park_id,database#baseball_1#park.csv,park_id
database#baseball_1#manager.csv,team_id,database#baseball_1#team.csv,team_id
database#baseball_1#manager_half.csv,team_id,database#baseball_1#team.csv,team_id
database#battle_death#ship.csv,lost_in_battle,database#battle_death#battle.csv,id
database#battle_death#death.csv,caused_by_ship_id,database#battle_death#ship.csv,id
database#behavior_monitoring#Students.csv,address_id,database#behavior_monitoring#Addresses.csv,address_id
database#behavior_monitoring#Teachers.csv,address_id,database#behavior_monitoring#Addresses.csv,address_id
