query_table,candidate_table,query_column,candidate_column
csvData1549285.csv,csvData20409520.csv,DRtg,DRtg
csvData917122.csv,csvData16083137.csv,AST%,AST%
csvData917122.csv,csvData16083137.csv,ORB%,ORB%
csvData917122.csv,csvData16083137.csv,TRB%,TRB%
csvData25322806.csv,csvData8770780.csv,STL%,STL%
csvData14518660.csv,csvData2852713.csv,Rpos,Rpos
csvData14518660.csv,csvData2852713.csv,Rbaser,Rbaser
csvData1902536.csv,csvData18661263.csv,Player,Player
csvData20535739.csv,csvData19688700.csv,Player,Player
csvData13891302.csv,csvData436368.csv,Team,Team
csvData4798003.csv,csvData436368.csv,Team,Team
csvData23033509.csv,csvData2877720.csv,SLG,SLG
csvData23033509.csv,csvData2877720.csv,Player,Player
csvData10025189.csv,csvData8804961.csv,Team,Team
csvData4674540.csv,csvData29453038.csv,Team,Team
csvData7470046.csv,csvData17093328.csv,ORtg,ORtg
csvData7470046.csv,csvData17093328.csv,Date,Date
csvData7470046.csv,csvData17093328.csv,DRtg,DRtg
csvData26651945.csv,csvData2877720.csv,Player,Player
csvData23141915.csv,csvData13051044.csv,DRB%,DRB%
csvData23141915.csv,csvData13051044.csv,ORB%,ORB%
csvData7063593.csv,csvData11585188.csv,AST%,AST%
csvData23141915.csv,csvData1549285.csv,DRtg,DRtg
csvData26853929.csv,csvData7320164.csv,SLG,SLG
csvData13703215.csv,csvData13434912.csv,Team,Team
csvData13891302.csv,csvData6592205.csv,Player,Player
csvData13891302.csv,csvData6592205.csv,GIDP,GIDP
csvData25917960.csv,csvData25120653.csv,AST%,AST%
csvData4431378.csv,csvData4823585.csv,Player,Player
csvData22418917.csv,csvData11585188.csv,AST%,AST%
csvData22418917.csv,csvData11585188.csv,Date,Date
csvData23141915.csv,csvData7470046.csv,ORtg,ORtg
csvData4676916.csv,csvData1444875.csv,Team,Team
csvData1644016.csv,csvData17054209.csv,Date,Date
csvData8620997.csv,csvData14833792.csv,GIDP,GIDP
csvData1444875.csv,csvData19072013.csv,Player,Player
csvData23967202.csv,csvData8770780.csv,TOV%,TOV%
csvData14690251.csv,csvData27987124.csv,AVG,AVG
csvData14690251.csv,csvData27987124.csv,Player,Player
csvData4823585.csv,csvData24807247.csv,RBI,RBI
csvData25437325.csv,csvData21873021.csv,Player,Player
csvData432880.csv,csvData16984008.csv,AST%,AST%
csvData432880.csv,csvData16984008.csv,Date,Date
csvData2798756.csv,csvData23141915.csv,TOV%,TOV%
csvData7104405.csv,csvData22658714.csv,Player,Player
csvData19621512.csv,csvData15894443.csv,PPF,PPF
csvData15745723.csv,csvData18661263.csv,Team,Team
csvData17302070.csv,csvData2590167.csv,POS,POS
csvData17302070.csv,csvData2590167.csv,GIDP,GIDP
csvData17377633.csv,csvData22060727.csv,TRB%,TRB%
csvData24131822.csv,csvData15497713.csv,oppOBP,oppOBP
csvData24131822.csv,csvData15497713.csv,oppRPA+,oppRPA+
csvData26651945.csv,csvData18493125.csv,Player,Player
csvData17302070.csv,csvData23033509.csv,Player,Player
csvData25794067.csv,csvData20076526.csv,AST%,AST%
csvData25441565.csv,csvData1786628.csv,eFG%,eFG%
csvData25441565.csv,csvData1786628.csv,TRB%,TRB%
csvData5124506.csv,csvData20535739.csv,Team,Team
csvData5124506.csv,csvData20535739.csv,Player,Player
csvData15745723.csv,csvData18661263.csv,Player,Player
csvData6444295.csv,csvData12976003.csv,ORB,ORB
csvData6444295.csv,csvData12976003.csv,BPG,BPG
csvData19688700.csv,csvData18784108.csv,Player,Player
csvData4676916.csv,csvData23033509.csv,OPS,OPS
csvData5376485.csv,csvData5124506.csv,OPS,OPS
csvData19130941.csv,csvData23033509.csv,SLG,SLG
csvData26651945.csv,csvData2761087.csv,Team,Team
csvData23003743.csv,csvData20535739.csv,Player,Player
csvData14833792.csv,csvData21084464.csv,Player,Player
csvData4823585.csv,csvData2761087.csv,Player,Player
csvData19688700.csv,csvData2877720.csv,Player,Player
csvData21286196.csv,csvData13703215.csv,Team,Team
csvData17093328.csv,csvData7470046.csv,AST%,AST%
csvData21300577.csv,csvData29402006.csv,OBP,OBP
csvData13771482.csv,csvData5376485.csv,Team,Team
csvData7222492.csv,csvData16773977.csv,FTM,FTM
csvData7615166.csv,csvData4823585.csv,Player,Player
csvData13703215.csv,csvData29453038.csv,RBI,RBI
csvData17093328.csv,csvData23141915.csv,ORtg,ORtg
csvData17093328.csv,csvData23141915.csv,USG%,USG%
csvData17093328.csv,csvData23141915.csv,TRB%,TRB%
csvData14429913.csv,csvData11585188.csv,BLK%,BLK%
csvData1102081.csv,csvData26651945.csv,GIDP,GIDP
csvData18661263.csv,csvData18784108.csv,Player,Player
csvData22418917.csv,csvData16984008.csv,ORB%,ORB%
csvData22418917.csv,csvData16984008.csv,USG%,USG%
csvData27987124.csv,csvData7401568.csv,Player,Player
csvData26817631.csv,csvData26761314.csv,USG%,USG%
csvData13638124.csv,csvData1902536.csv,Player,Player
csvData25120653.csv,csvData2055974.csv,eFG%,eFG%
csvData8479264.csv,csvData18661263.csv,SLG,SLG
csvData4676916.csv,csvData27987124.csv,SLG,SLG
csvData4676916.csv,csvData27987124.csv,Player,Player
csvData1444875.csv,csvData4676916.csv,Team,Team
csvData1549285.csv,csvData8963593.csv,AST%,AST%
csvData1549285.csv,csvData8963593.csv,GmSc,GmSc
csvData22418917.csv,csvData19659867.csv,TOV%,TOV%
csvData22418917.csv,csvData19659867.csv,Opp,Opp
csvData22418917.csv,csvData19659867.csv,AST%,AST%
csvData13891302.csv,csvData20535739.csv,Team,Team
csvData12739105.csv,csvData16984008.csv,TS%,TS%
csvData12739105.csv,csvData16984008.csv,ORB%,ORB%
csvData12739105.csv,csvData16984008.csv,DRtg,DRtg
csvData7615166.csv,csvData7104405.csv,Player,Player
csvData3383853.csv,csvData8479264.csv,Team,Team
csvData25917960.csv,csvData8963593.csv,TS%,TS%
csvData25917960.csv,csvData8963593.csv,GmSc,GmSc
csvData10027553.csv,csvData8598250.csv,Team,Team
csvData8479264.csv,csvData18661263.csv,POS,POS
csvData8479264.csv,csvData18661263.csv,OPS,OPS
csvData18784108.csv,csvData1902536.csv,Player,Player
csvData2879490.csv,csvData13336059.csv,POS,POS
csvData25283220.csv,csvData19553885.csv,OPS,OPS
csvData15965777.csv,csvData1102081.csv,POS,POS
csvData19688700.csv,csvData14833792.csv,Team,Team
csvData19688700.csv,csvData14833792.csv,SLG,SLG
csvData21873021.csv,csvData18493125.csv,Player,Player
