ds_name,att_name,ds_name_2,att_name_2
community-centres.csv,Geo Local Area,community-gardens-and-food-trees.csv,Geo Local Area
community-centres.csv,URLLINK,cultural-spaces.csv,WEBSITE
community-centres.csv,URLLINK,cultural-spaces.csv,WEBSITE
community-centres.csv,Geo Local Area,cultural-spaces.csv,LOCAL_AREA
community-centres.csv,Geo Local Area,eo_pr.csv,CITY
community-centres.csv,Geo Local Area,libraries.csv,Geo Local Area
community-centres.csv,Geo Local Area,population-census-of-botswana-2011.csv,REGION_NAME
community-centres.csv,NAME,public-art.csv,SiteName
community-centres.csv,NAME,public-art.csv,SiteName
community-centres.csv,ADDRESS,public-art.csv,SiteAddress
community-centres.csv,ADDRESS,public-art.csv,SiteAddress
community-centres.csv,Geo Local Area,public-art.csv,Neighbourhood
community-centres.csv,Geo Local Area,public-art.csv,GeoLocalArea
community-centres.csv,URLLINK,rental-standards-current-issues.csv,DetailURL
community-centres.csv,URLLINK,rental-standards-current-issues.csv,DetailURL
community-centres.csv,Geo Local Area,rental-standards-current-issues.csv,Geo Local Area
community-centres.csv,Geo Local Area,schools.csv,Geo Local Area
community-centres.csv,ADDRESS,street-intersections.csv,XSTREET
community-centres.csv,ADDRESS,street-intersections.csv,XSTREET
community-centres.csv,Geo Local Area,street-intersections.csv,Geo Local Area
community-gardens-and-food-trees.csv,NAME,cultural-spaces.csv,CULTURAL_SPACE_NAME
community-gardens-and-food-trees.csv,NAME,cultural-spaces.csv,CULTURAL_SPACE_NAME
community-gardens-and-food-trees.csv,Geo Local Area,cultural-spaces.csv,LOCAL_AREA
community-gardens-and-food-trees.csv,Geom,cultural-spaces.csv,Geom
community-gardens-and-food-trees.csv,STREET_NAME,eo_pr.csv,STREET
community-gardens-and-food-trees.csv,STREET_TYPE,eo_pr.csv,STREET
community-gardens-and-food-trees.csv,Geo Local Area,eo_pr.csv,CITY
community-gardens-and-food-trees.csv,STREET_NAME,libraries.csv,ADDRESS
community-gardens-and-food-trees.csv,STREET_TYPE,libraries.csv,ADDRESS
community-gardens-and-food-trees.csv,WEBSITE,libraries.csv,URLLINK
community-gardens-and-food-trees.csv,Geo Local Area,libraries.csv,Geo Local Area
community-gardens-and-food-trees.csv,Geo Local Area,population-census-of-botswana-2011.csv,REGION_NAME
community-gardens-and-food-trees.csv,WEBSITE,public-art-artists.csv,ArtistURL
community-gardens-and-food-trees.csv,WEBSITE,public-art-artists.csv,Photo
community-gardens-and-food-trees.csv,WEBSITE,public-art-artists.csv,Website
community-gardens-and-food-trees.csv,WEBSITE,public-art.csv,URL
community-gardens-and-food-trees.csv,WEBSITE,public-art.csv,PhotoURL
community-gardens-and-food-trees.csv,Geo Local Area,public-art.csv,Neighbourhood
community-gardens-and-food-trees.csv,Geo Local Area,public-art.csv,GeoLocalArea
community-gardens-and-food-trees.csv,STREET_NAME,rental-standards-current-issues.csv,Street
community-gardens-and-food-trees.csv,STREET_TYPE,rental-standards-current-issues.csv,Street
community-gardens-and-food-trees.csv,Geo Local Area,rental-standards-current-issues.csv,Geo Local Area
community-gardens-and-food-trees.csv,STREET_NAME,schools.csv,ADDRESS
community-gardens-and-food-trees.csv,STREET_TYPE,schools.csv,ADDRESS
community-gardens-and-food-trees.csv,Geo Local Area,schools.csv,Geo Local Area
community-gardens-and-food-trees.csv,Geo Local Area,street-intersections.csv,Geo Local Area
cultural-spaces.csv,LOCAL_AREA,eo_pr.csv,CITY
cultural-spaces.csv,LOCAL_AREA,libraries.csv,Geo Local Area
cultural-spaces.csv,LOCAL_AREA,population-census-of-botswana-2011.csv,REGION_NAME
cultural-spaces.csv,LOCAL_AREA,public-art.csv,Neighbourhood
cultural-spaces.csv,LOCAL_AREA,public-art.csv,GeoLocalArea
cultural-spaces.csv,WEBSITE,rental-standards-current-issues.csv,DetailURL
cultural-spaces.csv,WEBSITE,rental-standards-current-issues.csv,DetailURL
cultural-spaces.csv,LOCAL_AREA,rental-standards-current-issues.csv,Geo Local Area
cultural-spaces.csv,LOCAL_AREA,schools.csv,Geo Local Area
cultural-spaces.csv,LOCAL_AREA,street-intersections.csv,Geo Local Area
eo4.csv,ZIP,eo_pr.csv,ZIP
eo4.csv,RULING,eo_pr.csv,TAX_PERIOD
eo4.csv,TAX_PERIOD,eo_pr.csv,RULING
eo4.csv,TAX_PERIOD,eo_pr.csv,RULING
eo4.csv,NAME,eo_xx.csv,NAME
eo4.csv,CITY,eo_xx.csv,CITY
eo4.csv,CITY,eo_xx.csv,STATE
eo4.csv,ZIP,eo_xx.csv,ZIP
eo4.csv,RULING,eo_xx.csv,RULING
eo4.csv,RULING,eo_xx.csv,TAX_PERIOD
eo4.csv,CITY,public-art-artists.csv,Country
eo4.csv,NAME,rental-standards-current-issues.csv,BUSINESSOPERATOR
eo_pr.csv,ZIP,eo_xx.csv,ZIP
eo_pr.csv,TAX_PERIOD,eo_xx.csv,RULING
eo_pr.csv,TAX_PERIOD,eo_xx.csv,TAX_PERIOD
eo_pr.csv,STREET,libraries.csv,ADDRESS
eo_pr.csv,CITY,libraries.csv,Geo Local Area
eo_pr.csv,CITY,population-census-of-botswana-2011.csv,REGION_NAME
eo_pr.csv,CITY,public-art.csv,Neighbourhood
eo_pr.csv,CITY,public-art.csv,GeoLocalArea
eo_pr.csv,STREET,rental-standards-current-issues.csv,Street
eo_pr.csv,CITY,rental-standards-current-issues.csv,Geo Local Area
eo_pr.csv,STREET,schools.csv,ADDRESS
eo_pr.csv,CITY,schools.csv,Geo Local Area
eo_pr.csv,CITY,street-intersections.csv,Geo Local Area
eo_xx.csv,CITY,public-art-artists.csv,Country
eo_xx.csv,STATE,public-art-artists.csv,Country
eo_xx.csv,NAME,rental-standards-current-issues.csv,BUSINESSOPERATOR
eo_xx.csv,NTEE_CD,statewise-census-data-in-india-1901-2011.csv,LOCATION_ID
eo_xx.csv,NTEE_CD,statewise-census-data-in-india-1901-2011.csv,LOCATION_ID
eo_xx.csv,NTEE_CD,statewise-census-data-in-india-1901-2011.csv,VARIABLE_ID
eo_xx.csv,NTEE_CD,statewise-census-data-in-india-1901-2011.csv,VARIABLE_ID
libraries.csv,Geo Local Area,population-census-of-botswana-2011.csv,REGION_NAME
libraries.csv,URLLINK,public-art-artists.csv,ArtistURL
libraries.csv,URLLINK,public-art-artists.csv,Photo
libraries.csv,URLLINK,public-art-artists.csv,Website
libraries.csv,URLLINK,public-art.csv,URL
libraries.csv,URLLINK,public-art.csv,PhotoURL
libraries.csv,Geo Local Area,public-art.csv,Neighbourhood
libraries.csv,Geo Local Area,public-art.csv,GeoLocalArea
libraries.csv,ADDRESS,rental-standards-current-issues.csv,Street
libraries.csv,Geo Local Area,rental-standards-current-issues.csv,Geo Local Area
libraries.csv,ADDRESS,schools.csv,ADDRESS
libraries.csv,Geo Local Area,schools.csv,Geo Local Area
libraries.csv,Geo Local Area,street-intersections.csv,Geo Local Area
population-census-of-botswana-2011.csv,REGION_NAME,public-art.csv,Neighbourhood
population-census-of-botswana-2011.csv,REGION_NAME,public-art.csv,GeoLocalArea
population-census-of-botswana-2011.csv,REGION_NAME,rental-standards-current-issues.csv,Geo Local Area
population-census-of-botswana-2011.csv,REGION_NAME,schools.csv,Geo Local Area
population-census-of-botswana-2011.csv,FREQUENCY,statewise-census-data-in-india-1901-2011.csv,FREQUENCY
population-census-of-botswana-2011.csv,FREQUENCY,statewise-census-data-in-india-1901-2011.csv,FREQUENCY
population-census-of-botswana-2011.csv,REGION_NAME,street-intersections.csv,Geo Local Area
public-art-artists.csv,ArtistURL,public-art.csv,URL
public-art-artists.csv,ArtistURL,public-art.csv,PhotoURL
public-art-artists.csv,Photo,public-art.csv,URL
public-art-artists.csv,Photo,public-art.csv,PhotoURL
public-art-artists.csv,Website,public-art.csv,URL
public-art-artists.csv,Website,public-art.csv,PhotoURL
public-art.csv,Neighbourhood,rental-standards-current-issues.csv,Geo Local Area
public-art.csv,GeoLocalArea,rental-standards-current-issues.csv,Geo Local Area
public-art.csv,Neighbourhood,schools.csv,Geo Local Area
public-art.csv,GeoLocalArea,schools.csv,Geo Local Area
public-art.csv,SiteAddress,street-intersections.csv,XSTREET
public-art.csv,SiteAddress,street-intersections.csv,XSTREET
public-art.csv,Neighbourhood,street-intersections.csv,Geo Local Area
public-art.csv,GeoLocalArea,street-intersections.csv,Geo Local Area
rental-standards-current-issues.csv,Street,schools.csv,ADDRESS
rental-standards-current-issues.csv,Geo Local Area,schools.csv,Geo Local Area
rental-standards-current-issues.csv,Geo Local Area,street-intersections.csv,Geo Local Area
schools.csv,Geo Local Area,street-intersections.csv,Geo Local Area
